#
# 2021-04-07_REL606_replicate_002_timepoint_003
# ------------------------------
# Acquired: 4/28/2021 3:38:02 PM
# Converted: 04/29/2021 11:04:21 AM
# Vial: 12
# Injection Volume: 20 uL
# Sample ID: 003
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,0,B
0.008329999999999999,0,B
0.016669999999999997,0,B
0.025,0,B
0.03333,1,B
0.04167,1,B
0.05,1,B
0.05832999999999999,1,B
0.06667000000000001,2,B
0.075,2,B
0.08333,2,B
0.09167,2,B
0.1,2,B
0.10833,2,B
0.11667000000000001,2,B
0.125,2,B
0.13333,2,B
0.14167000000000002,2,B
0.15,2,B
0.15833,2,B
0.16667,2,B
0.175,2,B
0.18333,2,B
0.19167,2,B
0.2,3,B
0.20833000000000002,3,B
0.21666999999999997,3,B
0.225,3,B
0.23333,3,B
0.24166999999999997,3,B
0.25,4,B
0.25833,3,B
0.26666999999999996,3,B
0.275,3,B
0.28333,3,B
0.29167,3,B
0.3,3,B
0.30833,3,B
0.31667,3,B
0.325,3,B
0.33333,3,B
0.34167,3,B
0.35,3,B
0.35833000000000004,3,B
0.36667,3,B
0.375,3,B
0.38333,4,B
0.39166999999999996,4,B
0.4,4,B
0.40833,4,B
0.41667,4,B
0.425,4,B
0.43333,5,B
0.44167,5,B
0.45,5,B
0.45833,5,B
0.46667,5,B
0.475,5,B
0.48333000000000004,5,B
0.49167,5,B
0.5,5,B
0.5083300000000001,5,B
0.51667,5,B
0.525,5,B
0.53333,6,B
0.54167,6,B
0.55,6,B
0.55833,6,B
0.56667,7,B
0.575,7,B
0.58333,7,B
0.59167,7,B
0.6,6,B
0.60833,7,B
0.6166699999999999,6,B
0.625,6,B
0.6333300000000001,7,B
0.64167,7,B
0.65,7,B
0.65833,8,B
0.66667,8,B
0.675,8,B
0.68333,8,B
0.69167,8,B
0.7,8,B
0.70833,8,B
0.71667,8,B
0.725,8,B
0.73333,8,B
0.7416699999999999,8,B
0.75,8,B
0.7583300000000001,8,B
0.76667,8,B
0.775,8,B
0.78333,8,B
0.79167,8,B
0.8,8,B
0.80833,8,B
0.81667,8,B
0.825,8,B
0.8333299999999999,8,B
0.84167,8,B
0.85,9,B
0.8583299999999999,9,B
0.86667,9,B
0.875,8,B
0.88333,8,B
0.8916700000000001,8,B
0.9,8,B
0.90833,9,B
0.9166700000000001,9,B
0.925,9,B
0.9333299999999999,9,B
0.9416700000000001,9,B
0.95,8,B
0.9583299999999999,8,B
0.96667,8,B
0.975,8,B
0.9833299999999999,8,B
0.99167,9,B
1.0,9,B
1.00833,9,B
1.01667,9,B
1.025,10,B
1.0333299999999999,10,B
1.04167,10,B
1.05,10,B
1.05833,10,B
1.06667,10,B
1.075,10,B
1.08333,10,B
1.0916700000000001,11,B
1.1,11,B
1.10833,11,B
1.11667,11,B
1.125,11,B
1.13333,11,B
1.14167,10,B
1.15,10,B
1.1583299999999999,10,B
1.16667,11,B
1.175,10,B
1.18333,10,B
1.19167,10,B
1.2,10,B
1.20833,9,B
1.2166700000000001,9,B
1.225,9,B
1.23333,9,B
1.24167,10,B
1.25,10,B
1.25833,10,B
1.26667,10,B
1.275,10,B
1.2833299999999999,10,B
1.29167,10,B
1.3,10,B
1.30833,9,B
1.31667,9,B
1.325,10,B
1.33333,10,B
1.3416700000000001,10,B
1.35,10,B
1.35833,10,B
1.36667,10,B
1.375,10,B
1.38333,10,B
1.39167,10,B
1.4,9,B
1.4083299999999999,9,B
1.41667,9,B
1.425,9,B
1.43333,9,B
1.44167,9,B
1.45,9,B
1.45833,8,B
1.4666700000000001,8,B
1.475,8,B
1.48333,8,B
1.49167,8,B
1.5,8,B
1.50833,8,B
1.51667,8,B
1.525,8,B
1.5333299999999999,8,B
1.54167,8,B
1.55,8,B
1.55833,8,B
1.56667,8,B
1.575,8,B
1.58333,9,B
1.5916700000000001,9,B
1.6,9,B
1.60833,9,B
1.61667,9,B
1.625,9,B
1.63333,9,B
1.64167,9,B
1.65,8,B
1.6583299999999999,8,B
1.66667,8,B
1.675,8,B
1.68333,8,B
1.69167,8,B
1.7,8,B
1.70833,8,B
1.7166700000000001,8,B
1.725,8,B
1.73333,8,B
1.74167,8,B
1.75,8,B
1.75833,8,B
1.76667,8,B
1.775,8,B
1.7833299999999999,7,B
1.79167,7,B
1.8,7,B
1.80833,7,B
1.81667,8,B
1.825,8,B
1.83333,8,B
1.8416700000000001,8,B
1.85,9,B
1.85833,9,B
1.86667,8,B
1.875,8,B
1.88333,8,B
1.89167,8,B
1.9,8,B
1.9083299999999999,8,B
1.91667,8,B
1.925,8,B
1.93333,8,B
1.94167,8,B
1.95,8,B
1.95833,8,B
1.9666700000000001,8,B
1.975,7,B
1.98333,7,B
1.99167,7,B
2.0,8,B
2.00833,8,B
2.01667,8,B
2.025,8,B
2.03333,9,B
2.04167,9,B
2.05,9,B
2.0583299999999998,9,B
2.0666700000000002,10,B
2.075,10,B
2.08333,9,B
2.09167,9,B
2.1,9,B
2.10833,9,B
2.11667,8,B
2.125,9,B
2.13333,9,B
2.14167,9,B
2.15,9,B
2.15833,9,B
2.16667,9,B
2.175,9,B
2.1833299999999998,9,B
2.1916700000000002,9,B
2.2,9,B
2.20833,9,B
2.21667,9,B
2.225,9,B
2.23333,9,B
2.24167,9,B
2.25,9,B
2.25833,9,B
2.26667,9,B
2.275,9,B
2.28333,9,B
2.29167,9,B
2.3,9,B
2.3083299999999998,10,B
2.3166700000000002,10,B
2.325,10,B
2.33333,10,B
2.34167,9,B
2.35,9,B
2.35833,9,B
2.36667,9,B
2.375,9,B
2.38333,9,B
2.39167,9,B
2.4,10,B
2.40833,10,B
2.41667,10,B
2.425,10,B
2.4333299999999998,10,B
2.4416700000000002,10,B
2.45,10,B
2.45833,9,B
2.46667,9,B
2.475,9,B
2.48333,10,B
2.49167,10,B
2.5,10,B
2.50833,10,B
2.51667,10,B
2.525,11,B
2.53333,10,B
2.54167,10,B
2.55,11,B
2.5583299999999998,11,B
2.5666700000000002,11,B
2.575,10,B
2.58333,10,B
2.59167,10,B
2.6,10,B
2.60833,10,B
2.61667,10,B
2.625,11,B
2.63333,11,B
2.64167,11,B
2.65,11,B
2.65833,10,B
2.66667,10,B
2.675,10,B
2.6833299999999998,10,B
2.6916700000000002,11,B
2.7,11,B
2.70833,11,B
2.71667,11,B
2.725,11,B
2.73333,11,B
2.74167,11,B
2.75,11,B
2.75833,11,B
2.76667,11,B
2.775,11,B
2.78333,11,B
2.79167,11,B
2.8,11,B
2.8083299999999998,11,B
2.8166700000000002,11,B
2.825,11,B
2.83333,11,B
2.84167,11,B
2.85,11,B
2.85833,12,B
2.86667,12,B
2.875,12,B
2.88333,12,B
2.89167,12,B
2.9,12,B
2.90833,12,B
2.91667,12,B
2.925,12,B
2.9333299999999998,12,B
2.9416700000000002,12,B
2.95,12,B
2.95833,12,B
2.96667,12,B
2.975,12,B
2.98333,12,B
2.99167,12,B
3.0,12,B
3.00833,12,B
3.01667,12,B
3.025,12,B
3.03333,12,B
3.04167,12,B
3.05,12,B
3.0583299999999998,12,B
3.0666700000000002,13,B
3.075,13,B
3.08333,13,B
3.09167,13,B
3.1,13,B
3.10833,13,B
3.11667,14,B
3.125,14,B
3.13333,14,B
3.14167,14,B
3.15,13,B
3.15833,13,B
3.16667,13,B
3.175,14,B
3.1833299999999998,14,B
3.1916700000000002,14,B
3.2,14,B
3.20833,14,B
3.21667,14,B
3.225,14,B
3.23333,14,B
3.24167,14,B
3.25,14,B
3.25833,14,B
3.26667,14,B
3.275,14,B
3.2833300000000003,13,B
3.29167,13,B
3.3,13,B
3.30833,13,B
3.31667,13,B
3.325,13,B
3.33333,13,B
3.3416699999999997,14,B
3.35,14,B
3.3583300000000005,14,B
3.3666699999999996,14,B
3.375,14,B
3.3833300000000004,14,B
3.3916699999999995,14,B
3.4,14,B
3.4083300000000003,14,B
3.41667,14,B
3.425,14,B
3.43333,14,B
3.44167,14,B
3.45,14,B
3.45833,14,B
3.4666699999999997,14,B
3.475,14,B
3.4833300000000005,14,B
3.4916699999999996,14,B
3.5,14,B
3.5083300000000004,14,B
3.5166699999999995,15,B
3.525,15,B
3.5333300000000003,15,B
3.54167,16,B
3.55,16,B
3.55833,16,B
3.56667,16,B
3.575,16,B
3.58333,16,B
3.5916699999999997,16,B
3.6,16,B
3.6083300000000005,16,B
3.6166699999999996,15,B
3.625,15,B
3.6333300000000004,15,B
3.6416699999999995,16,B
3.65,15,B
3.6583300000000003,15,B
3.66667,15,B
3.675,15,B
3.68333,15,B
3.69167,16,B
3.7,16,B
3.70833,16,B
3.7166699999999997,16,B
3.725,16,B
3.7333300000000005,16,B
