#
# 2021-04-07_REL606_replicate_001_timepoint_003
# ------------------------------
# Acquired: 4/28/2021 12:16:02 PM
# Converted: 04/29/2021 11:04:20 AM
# Vial: 3
# Injection Volume: 20 uL
# Sample ID: 003
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,0,B
0.008329999999999999,0,B
0.016669999999999997,0,B
0.025,2,B
0.03333,2,B
0.04167,1,B
0.05,-2,B
0.05832999999999999,-4,B
0.06667000000000001,-6,B
0.075,-7,B
0.08333,-8,B
0.09167,-8,B
0.1,-7,B
0.10833,-5,B
0.11667000000000001,-4,B
0.125,-3,B
0.13333,-1,B
0.14167000000000002,0,B
0.15,0,B
0.15833,1,B
0.16667,2,B
0.175,2,B
0.18333,2,B
0.19167,2,B
0.2,2,B
0.20833000000000002,2,B
0.21666999999999997,2,B
0.225,2,B
0.23333,2,B
0.24166999999999997,3,B
0.25,3,B
0.25833,3,B
0.26666999999999996,4,B
0.275,3,B
0.28333,3,B
0.29167,3,B
0.3,2,B
0.30833,2,B
0.31667,2,B
0.325,1,B
0.33333,1,B
0.34167,1,B
0.35,1,B
0.35833000000000004,2,B
0.36667,2,B
0.375,2,B
0.38333,2,B
0.39166999999999996,2,B
0.4,2,B
0.40833,2,B
0.41667,2,B
0.425,2,B
0.43333,2,B
0.44167,2,B
0.45,2,B
0.45833,2,B
0.46667,2,B
0.475,2,B
0.48333000000000004,2,B
0.49167,2,B
0.5,2,B
0.5083300000000001,2,B
0.51667,2,B
0.525,2,B
0.53333,2,B
0.54167,3,B
0.55,3,B
0.55833,4,B
0.56667,4,B
0.575,5,B
0.58333,5,B
0.59167,5,B
0.6,6,B
0.60833,6,B
0.6166699999999999,7,B
0.625,7,B
0.6333300000000001,6,B
0.64167,6,B
0.65,5,B
0.65833,4,B
0.66667,3,B
0.675,2,B
0.68333,1,B
0.69167,0,B
0.7,0,B
0.70833,-1,B
0.71667,-2,B
0.725,-2,B
0.73333,-3,B
0.7416699999999999,-2,B
0.75,-2,B
0.7583300000000001,-2,B
0.76667,-2,B
0.775,-1,B
0.78333,-1,B
0.79167,0,B
0.8,0,B
0.80833,1,B
0.81667,1,B
0.825,2,B
0.8333299999999999,2,B
0.84167,2,B
0.85,2,B
0.8583299999999999,2,B
0.86667,3,B
0.875,4,B
0.88333,4,B
0.8916700000000001,5,B
0.9,5,B
0.90833,6,B
0.9166700000000001,6,B
0.925,6,B
0.9333299999999999,6,B
0.9416700000000001,6,B
0.95,6,B
0.9583299999999999,6,B
0.96667,6,B
0.975,6,B
0.9833299999999999,7,B
0.99167,7,B
1.0,7,B
1.00833,6,B
1.01667,6,B
1.025,6,B
1.0333299999999999,6,B
1.04167,6,B
1.05,7,B
1.05833,7,B
1.06667,7,B
1.075,8,B
1.08333,8,B
1.0916700000000001,8,B
1.1,8,B
1.10833,8,B
1.11667,8,B
1.125,8,B
1.13333,8,B
1.14167,8,B
1.15,8,B
1.1583299999999999,8,B
1.16667,8,B
1.175,8,B
1.18333,8,B
1.19167,7,B
1.2,7,B
1.20833,7,B
1.2166700000000001,8,B
1.225,8,B
1.23333,8,B
1.24167,8,B
1.25,8,B
1.25833,8,B
1.26667,8,B
1.275,7,B
1.2833299999999999,7,B
1.29167,7,B
1.3,7,B
1.30833,7,B
1.31667,7,B
1.325,7,B
1.33333,6,B
1.3416700000000001,6,B
1.35,6,B
1.35833,7,B
1.36667,6,B
1.375,7,B
1.38333,7,B
1.39167,7,B
1.4,7,B
1.4083299999999999,6,B
1.41667,6,B
1.425,6,B
1.43333,6,B
1.44167,6,B
1.45,6,B
1.45833,6,B
1.4666700000000001,6,B
1.475,6,B
1.48333,6,B
1.49167,7,B
1.5,6,B
1.50833,6,B
1.51667,6,B
1.525,6,B
1.5333299999999999,5,B
1.54167,5,B
1.55,5,B
1.55833,5,B
1.56667,6,B
1.575,6,B
1.58333,5,B
1.5916700000000001,5,B
1.6,5,B
1.60833,5,B
1.61667,5,B
1.625,5,B
1.63333,5,B
1.64167,4,B
1.65,4,B
1.6583299999999999,4,B
1.66667,5,B
1.675,5,B
1.68333,5,B
1.69167,5,B
1.7,5,B
1.70833,5,B
1.7166700000000001,5,B
1.725,5,B
1.73333,4,B
1.74167,4,B
1.75,4,B
1.75833,5,B
1.76667,4,B
1.775,4,B
1.7833299999999999,4,B
1.79167,4,B
1.8,4,B
1.80833,4,B
1.81667,4,B
1.825,4,B
1.83333,4,B
1.8416700000000001,5,B
1.85,5,B
1.85833,4,B
1.86667,4,B
1.875,4,B
1.88333,4,B
1.89167,4,B
1.9,4,B
1.9083299999999999,4,B
1.91667,4,B
1.925,4,B
1.93333,4,B
1.94167,4,B
1.95,5,B
1.95833,5,B
1.9666700000000001,5,B
1.975,5,B
1.98333,5,B
1.99167,5,B
2.0,5,B
2.00833,5,B
2.01667,5,B
2.025,5,B
2.03333,5,B
2.04167,5,B
2.05,5,B
2.0583299999999998,6,B
2.0666700000000002,6,B
2.075,6,B
2.08333,5,B
2.09167,5,B
2.1,5,B
2.10833,5,B
2.11667,5,B
2.125,5,B
2.13333,5,B
2.14167,5,B
2.15,5,B
2.15833,5,B
2.16667,5,B
2.175,5,B
2.1833299999999998,5,B
2.1916700000000002,5,B
2.2,5,B
2.20833,6,B
2.21667,5,B
2.225,5,B
2.23333,5,B
2.24167,5,B
2.25,6,B
2.25833,6,B
2.26667,6,B
2.275,7,B
2.28333,7,B
2.29167,7,B
2.3,6,B
2.3083299999999998,6,B
2.3166700000000002,6,B
2.325,6,B
2.33333,6,B
2.34167,6,B
2.35,6,B
2.35833,6,B
2.36667,6,B
2.375,6,B
2.38333,6,B
2.39167,6,B
2.4,6,B
2.40833,6,B
2.41667,6,B
2.425,6,B
2.4333299999999998,7,B
2.4416700000000002,7,B
2.45,7,B
2.45833,7,B
2.46667,7,B
2.475,7,B
2.48333,7,B
2.49167,7,B
2.5,7,B
2.50833,7,B
2.51667,7,B
2.525,7,B
2.53333,7,B
2.54167,7,B
2.55,6,B
2.5583299999999998,6,B
2.5666700000000002,6,B
2.575,6,B
2.58333,7,B
2.59167,7,B
2.6,7,B
2.60833,7,B
2.61667,7,B
2.625,7,B
2.63333,7,B
2.64167,7,B
2.65,7,B
2.65833,7,B
2.66667,7,B
2.675,7,B
2.6833299999999998,7,B
2.6916700000000002,7,B
2.7,7,B
2.70833,7,B
2.71667,7,B
2.725,7,B
2.73333,7,B
2.74167,7,B
2.75,7,B
2.75833,7,B
2.76667,7,B
2.775,7,B
2.78333,7,B
2.79167,7,B
2.8,7,B
2.8083299999999998,8,B
2.8166700000000002,8,B
2.825,8,B
2.83333,8,B
2.84167,8,B
2.85,8,B
2.85833,8,B
2.86667,9,B
2.875,9,B
2.88333,9,B
2.89167,9,B
2.9,9,B
2.90833,9,B
2.91667,9,B
2.925,9,B
2.9333299999999998,9,B
2.9416700000000002,9,B
2.95,9,B
2.95833,9,B
2.96667,9,B
2.975,9,B
2.98333,9,B
2.99167,9,B
3.0,9,B
3.00833,10,B
3.01667,10,B
3.025,10,B
3.03333,10,B
3.04167,9,B
3.05,9,B
3.0583299999999998,9,B
3.0666700000000002,9,B
3.075,9,B
3.08333,9,B
3.09167,9,B
3.1,9,B
3.10833,9,B
3.11667,9,B
3.125,9,B
3.13333,9,B
3.14167,9,B
3.15,9,B
3.15833,9,B
3.16667,10,B
3.175,10,B
3.1833299999999998,10,B
3.1916700000000002,10,B
3.2,10,B
3.20833,10,B
3.21667,10,B
3.225,11,B
3.23333,11,B
3.24167,10,B
3.25,10,B
3.25833,10,B
3.26667,10,B
3.275,11,B
3.2833300000000003,11,B
3.29167,11,B
3.3,10,B
3.30833,10,B
3.31667,10,B
3.325,10,B
3.33333,10,B
3.3416699999999997,10,B
3.35,10,B
3.3583300000000005,10,B
3.3666699999999996,10,B
3.375,10,B
3.3833300000000004,10,B
3.3916699999999995,10,B
3.4,11,B
3.4083300000000003,11,B
3.41667,11,B
3.425,11,B
3.43333,11,B
3.44167,11,B
3.45,11,B
3.45833,11,B
3.4666699999999997,12,B
3.475,12,B
3.4833300000000005,12,B
3.4916699999999996,12,B
3.5,12,B
3.5083300000000004,12,B
3.5166699999999995,12,B
3.525,12,B
3.5333300000000003,12,B
3.54167,12,B
3.55,12,B
3.55833,12,B
3.56667,13,B
3.575,13,B
3.58333,13,B
3.5916699999999997,13,B
3.6,13,B
3.6083300000000005,13,B
3.6166699999999996,13,B
3.625,13,B
3.6333300000000004,13,B
3.6416699999999995,13,B
3.65,13,B
3.6583300000000003,13,B
3.66667,13,B
3.675,13,B
3.68333,12,B
3.69167,12,B
3.7,13,B
3.70833,13,B
3.7166699999999997,12,B
